type,name,latitude_deg,longitude_deg,iata_code
medium_airport,Anaa Airport,-17.3526,-145.509995,AAA
medium_airport,El Arish International Airport,31.078565,33.836791,AAC
medium_airport,Annaba Rabah Bitat Airport,36.826781,7.81334,AAE
medium_airport,Aalborg Airport,57.094763,9.84993,AAL
medium_airport,Malamala Airport,-24.816866,31.544085,AAM
medium_airport,Al Ain International Airport,24.26169968,55.60919952,AAN
medium_airport,Anaco Airport,9.430225,-64.470726,AAO
medium_airport,Aji Pangeran Tumenggung Pranoto International Airport,-0.374478,117.250128,AAP
medium_airport,Anapa Vityazevo Airport,45.002102,37.347301,AAQ
medium_airport,Aarhus Airport,56.303331,10.618286,AAR
medium_airport,Altay Xuedu Airport,47.749886,88.085808,AAT
medium_airport,Allah Valley Airport,6.367903,124.752431,AAV
medium_airport,Romeu Zema Airport,-19.5632,-46.9604,AAX
medium_airport,Al Ghaydah International Airport,16.193341,52.174186,AAY
medium_airport,Abakan International Airport,53.740002,91.385002,ABA
medium_airport,Asaba International Airport,6.204167,6.665278,ABB
medium_airport,Albacete Airport / Los Llanos Air Base,38.948502,-1.86352,ABC
medium_airport,Abadan Airport,30.367887,48.230075,ABD
medium_airport,Lehigh Valley International Airport,40.651773,-75.442797,ABE
medium_airport,Abilene Regional Airport,32.41130066,-99.68190002,ABI
medium_airport,Félix-Houphouët-Boigny International Airport,5.26139,-3.92629,ABJ
medium_airport,Kebri Dahar Airport,6.732577,44.241339,ABK
medium_airport,Ambler Airport,67.105529,-157.855339,ABL
medium_airport,Aberdeen Regional Airport,45.44910049,-98.42179871,ABR
medium_airport,Abu Simbel Airport,22.367657,31.609962,ABS
medium_airport,King Saud Bin Abdulaziz (Al Baha) Airport,20.298506,41.636153,ABT
large_airport,Nnamdi Azikiwe International Airport,9.00679,7.26317,ABV
medium_airport,Albury Airport,-36.066758,146.959148,ABX
medium_airport,Southwest Georgia Regional Airport,31.532946,-84.196215,ABY
medium_airport,Aberdeen Dyce Airport,57.2019,-2.19778,ABZ
medium_airport,General Juan N. Álvarez International Airport,16.757126,-99.753113,ACA
large_airport,Kotoka International Airport,5.6051898,-0.1667860001,ACC
large_airport,César Manrique-Lanzarote Airport,28.945499,-13.6052,ACE
medium_airport,Sankt Gallen Altenrhein Airport,47.485001,9.56077,ACH
medium_airport,Alderney Airport,49.706104,-2.21472,ACI
medium_airport,Anuradhapura Airport,8.301542,80.42848,ACJ
medium_airport,Nantucket Memorial Airport,41.25310135,-70.06020355,ACK
medium_airport,Achinsk Airport,56.269185,90.57511,ACS
medium_airport,Waco Regional Airport,31.61129951,-97.23049927,ACT
medium_airport,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,ACV
medium_airport,Xingyi Wanfenglin Airport,25.083423,104.960804,ACX
medium_airport,Atlantic City International Airport,39.45759964,-74.57720184,ACY
medium_airport,Zabol Airport,31.098301,61.5439,ACZ
